evanescent [,i:və'nesnt] a.迅速消失的，短暂的
evaporate [i'væpəreit] v.(使某物)蒸发掉
evasion [i'veiʒən] n.躲避；借口
evasive [i'veisiv] a.迥避的，逃避的；托辞的
even ['i:vən] a.平的
evenhanded [,ivən'hændid] a.公平的，不偏不倚的
evict [i'vikt] v.(依法)驱逐
eviction [i'vikʃən] n.(对房客或佃户的)驱逐
evince [i'vins] v.表明，表示，表现出
evocative [i'vɔkətiv] a.唤起的，激起的
evoke [i'vəuk] v.引起；唤起
evolve [i'vɔlv] v.使逐渐形成，进化
ewe [ju:] n.母羊
ewer ['ju(:)ə] n.大口水罐
exacerbate [eks'æsə(:)beit] v.(病、疼痛)加重，恶化
exact [iɡ'zækt] a.精确的；v.强求，强索付款
exacting [iɡ'zæktiŋ] a.苛求的；要求严格的
exactitude [iɡ'zæktitju:d] n.极端的正确性或精确性
exaggerate [iɡ'zædʒəreit] v.夸张；夸大
exaggeration [iɡ,zædʒə'reiʃən] n.夸张
exalt [iɡ'zɔ:lt] v.(高度)赞扬，歌颂
exaltation [,eɡzɔ:l'teiʃən] n.(成功带来的)得意，高兴
exasperate [iɡ'zɑ:spəreit] v.激怒，使恼怒
excavate ['ekskəveit] v.挖掘；挖出
exceed [ik'si:d] v.超过；超出
excel [ik'sel] v.善于，擅长于
exceptional [ik'sepʃənl] a.特别(好)的
excess ['ekses] n.过分，过度
excise [ek'saiz] v.切除，删去
excitability [ik,saitə'biliti] n.易兴奋性，易激动性
exclaim [iks'kleim] v.惊叫，呼喊
exclamation [,eksklə'meiʃən] n.惊叹词；惊呼
exclude [iks'klu:d] v.排斥；排除
exclusive [iks'klu:siv] a.(人)孤僻的；(物)专用的
excoriate [eks'kɔ:rieit] v.撕去皮；严厉批评
excrete [eks'kri:t] v.排泄，分泌
exculpate ['ekskʌlpeit] v.开脱，申明无罪
excursion [iks'kə:ʃən] n.短途旅游
excursive [iks'kə:siv] a.离题的
execrable ['eksikrəbl] a.极坏的
execrate ['eksikreit] v.憎恶；咒骂
execute ['eksikju:t] v.执行，履行；将某人处死
exemplary [iɡ'zempləri] a.可作楷模的
exemplify [iɡ'zemplifai] v.是„的典型；举出„的例子
exempt [iɡ'zempt] a.被免除的；v.使免除
exert [iɡ'zə:t] v.运用(力量等)
exhale [eks'heil] v.呼出(气)
exhaust [iɡ'zɔ:st] n.(机器排出的)废气，蒸气；v.使非常疲倦
exhaustive [iɡ'zɔ:stiv] a.彻底的，无遗漏的
exhilarate [iɡ'ziləreit] v.使高兴
exhilaration [iɡ,zilə'reiʃən] n.高兴，活跃
exhort [iɡ'zɔ:t] v.力劝，劝告
exigent ['eksidʒənt] a.需要立即采取行动的
existential [,eɡzis'tenʃəl] a.有关存在的，存在主义的
exodus ['eksədəs] n.大批离去，成群外出
exonerate [iɡ'zɔnəreit] v.免除责任；确定无罪
exorbitant [iɡ'zɔ:bitənt] a.过分的，过度的
exorcise ['eksɔ:saiz] v.驱魔；去除(坏念头等)
exotic [iɡ'zɔtik] a.珍奇的；来自异国的
expand [iks'pænd] v.扩大，膨胀
expansive [iks'pænsiv] a.(指人)健谈的，开朗的；可扩大的，可伸展的
expediency [ik'spi:diənsi] n.(未必正当的)便利；有益但未必正当的举措，权宜之计
expedient [iks'pi:diənt] n.权宜之计，(未必正当的)临时手段；a.(指行动)有用的
