contrast ['kɔntræst] v./n.对比
contravene [,kɔntrə'vi:n] v.违背(法规，习俗等)
contrite ['kɔntrait] a.悔罪的，痛悔的
contrition [kən'triʃ(ə)n] n.悔罪，痛悔
contrive [kən'traiv] v.计划，设计
contrived [kən'traivd] a.不自然的，做作的
control [kən'trəul] n.实验对照组
controversial [,kɔntrə'və:ʃəl] a.引起或可能引起争论的
controvert ['kɔntrə,və:t] v.反驳，驳斥
contumacious [,kɔntju:'meiʃəs] a.（无理）违抗的，不服从的
conundrum [kə'nʌndrəm] n.(答案有双关意义的)谜语；难题
convalesce [,kɔnvə'les] v.(病)康复，复原
convalescent [,kɔnvə'lesnt] a./n.康复中的(病人)
convenience [kən'vi:njəns] n.便利，有益；方便(的用具，机械等)
conventional [kən'venʃənl] a.因循守旧的，传统的
converge [kən'və:dʒ] v.会聚，集中于一点
convergent [kən'və:dʒənt] a.会聚的
conversant [kən'və:sənt] a.精通的，熟知的
converse [kən'və:s] v.谈话；a.逆向的；n.相反的事物
convert [kən'və:t, 'kɔnvə:t] v.使改变(信仰等)；n.改变信仰的人
convertible [kən'və:təbl] a.可转换的；n.敞篷车
convex [kɔn'veks] a.凸出的
convey [kən'vei] v.运载，运送；表达
convict [kən'vikt,'kɔnvikt] v.定罪；n.罪犯
conviction [kən'vikʃən] n.判罪；坚信
convince [kən'vins] v.使某人确信；说服
convivial [kən'viviəl] a.欢乐的，狂欢的
conviviality [kən,vivi'æliti] n.欢乐；爱交际的性格
convoke [kən'vəuk] v.召集
convoluted ['kɔnvəlju:tid] a.盘绕的；复杂的、费解的
convulse [kən'vʌls] v.使震动，震惊
convulsion [kən'vʌlʃən] n.骚动；痉挛
coop [ku:p] n.(鸡)笼，栏
cooperate [kəu'ɔpəreit] v.与他人合作
cooperative [kəu'ɔpərətiv] a.联营的，合作的；愿意协助的
coordinate [kəu'ɔ:dinit] n.同等物；坐标；v.使各部分协调； a.同等的
copious ['kəupjəs] a.丰富的，多产的
cord [kɔ:d] n.考得(木材堆的体积单位，等于立方英尺，.立方米)；绳索
core [kɔ:] n.果心；核心；v.去掉某物的中心部分
cornucopia [,kɔ:nju'kəupjə] n.象征丰收的羊角(羊角装饰器内装满花、果、谷物等以示富饶)
coronation [kɔrə'neiʃ(ə)n] n.加冕
corporate ['kɔ:pərit] a.团体的；共同的
corporeal [kɔ:'pɔ:riəl] a.肉体的，身体的；物质的
corpuscle ['kɔ:pʌs(ə)l] n.血球，细胞
corral [kɔ'rɑ:l] n.(牛、马等)畜栏
correspondent [,kɔris'pɔndənt] a.符合的；n.记者
corroborate [kə'rɔbəreit] v.支持或证实；强化
corrode [kə'rəud] v.腐蚀，侵蚀
corrosive [kə'rəusiv] a.腐蚀性的，腐蚀的，蚀坏的
corrugate ['kɔruɡeit] v.(使)起波浪形，起皱纹
corrugated ['kɔrəɡeitid] a.起皱纹的
corrupt [kə'rʌpt] a.堕落的，腐败的；文体有错误的
cosmic ['kɔzmik] a.宇宙的
cosmopolitan [,kɔzmə'pɔlitən] n.世界主义者，四海为家的人
cosmopolitanism [,kɔzmə'pɔlitənizəm] n.世界性，世界主义
cosmos ['kɔzmɔs] n.宇宙
cosset ['kɔsit] v.宠爱，溺爱
costume ['kɔstju:m] n.服装；剧装
coterie ['kəutəri] n.(有共同兴趣的)小团体
coterminous [kəu'tə:minəs] a.毗连的，有共同边界的
cougar [couɡar] n.美洲豹
countenance ['kauntinəns] v.赞成，批准，支持；容忍；n.面部表情，面貌
counteract [,kauntə'rækt] v.消除，抵消
counterbalance [,kauntə'bæləns] v.起平衡作用
counterfeit ['kauntəfit] v.伪造，仿造
countermand [,kauntə'mɑ:nd] v.撤回(命令)，取消(订货)
counterpart ['kauntəpɑ:t] n.相对应或具有相同功能的人或物
coup [ku:] n.意外而成功的行动
court [kɔ:t] n.法庭，法院；宫廷，朝廷；v.献殷勤；追求功名
covenant ['kʌvənənt] n.契约；v.立书保证
covert ['kʌvət] a.秘密的，隐密的
covet ['kʌvit] v.贪求，妄想
cow [kau] v.威胁
coward ['kauəd] n.胆小鬼
cower ['kauə] v.(因寒冷或害怕)畏缩，蜷缩
coy [kɔi] a.腼腆的，忸怩的
cozen ['kʌzn] v.欺骗, 哄骗
crab [kræb] n.蟹，螃蟹；v.抱怨，发脾气
crabbed ['kræbid] a.暴躁的
crack [kræk] n.爆裂声；裂缝；v.裂开；破解，破译
craft [krɑ:ft] n.行业；手艺
cram [kræm] v.（超限）填塞，塞满；临时抱佛脚，为考试而学习
cramp [kræmp] n.铁箍，夹子；v.把„箍紧
cranky ['kræŋki] a.怪癖的；不稳的
crass [kræs] a.愚钝的；粗鲁的
crate [kreit] n.篓，板条箱
crater ['kreitə] n.火山口；弹坑
cravat [krə'væt] n.领巾，围巾
craven ['kreivən] a.懦弱的，畏缩的
craving ['kreiviŋ] n.强烈的愿望
crayon ['kreiən] n.彩色腊笔、粉笔或其绘画
crease [kri:s] n.折缝，皱痕
credence ['kri:dəns] n.相信，信任
credible ['kredəbl] a.可信的，可靠的
credit ['kredit] n.赊购；信任；(电影)片头字幕
credulous ['kredjuləs] a.轻信的，易信的
creek [kri:k] n.小湾，小溪
