unworldly ['ʌn'wə:ldli] a.非世俗的；精神上的
upbraid [ʌp'breid] v.斥责，责骂
upgrade ['ʌpɡreid] v.提升，给„升级
upheaval [ʌp'hi:vəl] n.动乱，大变动
uphold [ʌp'həuld] v.维护，支持
upright ['ʌp'rait] a.垂直的；正直的
uproar ['ʌprɔ:] n.喧闹，骚动
uproarious [ʌp'rɔ:riəs] a.骚动的，喧嚣的；令人捧腹(大笑)的，非常有趣的
upstage ['ʌpsteidʒ] a.骄傲的，高傲的
upswing ['ʌpswiŋ] n.上升，增长
urgent ['ə:dʒənt] a.迫切的，紧急的
usurp [ju:'zə:p] v.篡夺，霸占(权位)
usury ['ju:ʒuri] n.放高利贷
utilitarian [,ju:tili'teəriən] a.功利的，实用的
utilize [ju:'tilaiz] v.利用，使用
utopia [ju:'təupjə] n.理想国，理想的完美境界
utopian [ju:'təupjən] a.乌托邦式的，空想的，不切实际的
utter ['ʌtə] a.完全的；v.发出声音
